"Ritz Wavelength Vac (nm)","Rel. Int.","Aki (s-1)"
,,
91.232366,,1.23E+02
91.2353295,,1.39E+02
91.2385303,,1.58E+02
91.2419943,,1.81E+02
91.2457513,,2.08E+02
,,
91.2498352,,2.39E+02
91.2542852,,2.76E+02
91.2591463,,3.21E+02
91.2644709,,3.74E+02
91.2703197,,4.39E+02
,,
91.2767639,,5.17E+02
91.2838873,,6.12E+02
91.2917887,,7.30E+02
91.3005859,,8.75E+02
91.3104195,,1.06E+03
,,
91.3214592,,1.29E+03
91.3339105,,1.58E+03
91.3480251,,1.95E+03
91.3641133,,2.44E+03
91.3825609,,3.08E+03
,,
91.4038537,,3.93E+03
91.4286086,,5.08E+03
91.4576201,,6.65E+03
91.4919242,,8.86E+03
91.5328932,,1.20E+04
,,
91.5823751,,1.66E+04
91.6429076,,2.34E+04
91.7180514,,3.39E+04
91.81293,5600,5.07E+04
91.81293175,,
,,
91.81293046,,
91.81293188,,
91.9351334,6100,7.83E+04
91.93513419,,
91.93513605,,
,,
91.93513358,,
91.93513586,,
92.0963006,7400,1.26E+05
92.09630369,,
92.09630145,,
,,
92.09630394,,
92.3150275,12000,2.14E+05
92.31502738,,
92.31503159,,
92.3150285,,
,,
92.31503193,,
92.62256653,,
92.6225621,,
92.62256701,,
92.6225605,11000,3.87E+05
,,
93.07481505,,
93.07482418,,
93.07481751,,
93.07482489,,
93.0748142,5600,7.57E+05
,,
93.78033611,,1.97E+07
93.78034803,,1.97E+07
93.78034687,,
93.780331,19000,1.64E+06
94.97429095,,3.44E+07
,,
94.974287,33000,4.13E+06
94.97431207,,3.44E+07
94.974284,,
94.97431003,,
97.25365,83000,1.28E+07
,,
97.2536985,,
97.25365944,,6.82E+07
97.2537027,,6.82E+07
102.5721447,,5.94E+02
102.5721827,,5.94E+02
,,
102.5722855,,1.11E-06
102.5721825,,1.67E+08
102.5722,250000,5.58E+07
102.5722966,,1.67E+08
121.5668237,,6.26E+08
,,
121.5673645,,6.26E+08
121.56701,840000,4.70E+08
121.5673123,,2.50E-06
,,
,,
365.51234,,6.75E+01
365.55993,,7.66E+01
365.61134,,8.72E+01
365.66698,700,9.97E+01
365.72735,700,1.14E+02
,,
365.79299,700bl,1.32E+02
365.86453,700,1.52E+02
365.94271,700,1.77E+02
366.02837,700bl,2.06E+02
366.12249,800,2.42E+02
,,
366.22625,1100bl,2.85E+02
366.34098,900bl,3.37E+02
366.46831,1000bl,4.02E+02
366.61016,900,4.83E+02
366.76881,1000,5.83E+02
,,
366.94705,1300,7.10E+02
367.14823,1200bl,8.71E+02
367.37649,1300,1.08E+03
367.63692,1400,1.35E+03
367.93589,1700,1.70E+03
,,
368.28143,1700,2.17E+03
368.68376,2000,2.81E+03
369.15611,2300,3.69E+03
369.71581,2300,4.91E+03
370.38593,2800,6.66E+03
,,
371.19774,3300,9.21E+03
372.19449,5000,1.30E+04
373.43746,6000,1.89E+04
375.0124905,,
375.0125118,,
,,
375.01275,,
375.0129789,,
375.0129867,,
375.0129869,,
375.0130082,,
,,
375.0130105,,
375.01584,8000,2.83E+04
375.01515,,
375.0176298,,
375.01763,,
,,
375.0176378,,
375.0176591,,
377.060301,,
377.060329,,
377.06056,,
,,
377.0608027,,
377.0608308,,
377.060834,,
377.063,,
377.06368,9000,4.40E+04
,,
377.0654943,,
377.0655,,
377.0655047,,
377.0655327,,
379.7870048,,
,,
379.7870427,,
379.78727,,
379.7874999,,
379.7875137,,
379.7875518,,
,,
379.787556,,
379.78974,,
379.79044,17000,7.12E+04
379.7922699,,
379.79227,,
,,
379.792284,,
379.7923219,,
383.5355892,,
383.5356424,,
383.53587,,
,,
383.5361082,,
383.5361616,,
383.5361673,,
383.53839,,
383.53909,30000,1.22E+05
,,
383.5409535,,
383.54096,,
383.5409732,,
383.5410263,,
388.9019815,,
,,
388.9020595,,
388.90227,,
388.9024865,,
388.9025152,,
388.9025154,,
,,
388.9025933,,
388.9026017,,
388.90486,,
388.90557,70000,2.21E+05
388.9074883,,
,,
388.90749,,
388.9075172,,
388.9075951,,
397.0041763,,
397.0042976,,
,,
397.00448,,
397.0047325,,
397.0048539,,
397.004867,,
397.00719,,
,,
397.00788,30000,4.39E+05
397.0099002,,
397.00991,,
397.009945,,
397.0100663,,
,,
410.1702284,,4.29E+06
410.1704339,,2.45E+05
410.17056,,
410.1707462,,
410.1708218,,2.86E+06
,,
410.1710277,,
410.1710499,,2.86E+06
410.17415,70000,9.73E+05
410.17346,,
410.17631,,5.15E+06
,,
410.17632,,
410.176386,,8.57E+05
410.1765915,,4.90E+05
434.0426937,,7.85E+06
434.04309,,
,,
434.0430904,,4.30E+05
434.0433568,,4.95E+06
434.0437554,,
434.0437982,,4.95E+06
434.04634,,
,,
434.0471,90000,2.53E+06
434.0494419,,9.43E+06
434.04947,,
434.0495889,,1.57E+06
434.0499857,,8.59E+05
,,
486.1278624,,1.72E+07
486.1283363,,
486.12841,,
486.1286949,,9.67E+06
486.128837,,8.59E+05
,,
486.1296711,,
486.1297761,,9.67E+06
486.1325,,
486.1333,180000,8.42E+06
486.1361516,,2.06E+07
,,
486.13622,,
486.1365118,,3.44E+06
486.1374864,,1.72E+06
656.27097,,5.39E+07
656.2714,,
,,
656.2722,,
656.272483,,2.24E+07
656.275181,,2.10E+06
656.276701,,
656.277,,
,,
656.277153,,2.24E+07
656.2819,500000,4.41E+07
656.2795,,
656.285177,,6.47E+07
656.28533,,
,,
656.2854,,
656.286734,,1.08E+07
656.290944,,4.21E+06
824.9974,90,
825.2399,90,
,,
825.5019,90,
825.7856,110,
826.0936,110,
826.4285,110,
826.7938,110,
,,
827.1931,140,
827.6309,140,
828.1123,140,
828.6432,140,
829.2308,170,
,,
829.8835,210,
830.6113,250,
831.4261,290,
832.3425,290,
833.3783,370,
,,
834.5553,500,
835.9004,500,
837.4476,600,
839.2397,700,1.52E+03
841.3318,700,1.96E+03
,,
843.7956,700,2.58E+03
846.7254,700,3.44E+03
850.2483,-1200,4.68E+03
854.5383,-1400,6.49E+03
859.8392,2300,9.21E+03
,,
866.5018,-2200,1.34E+04
875.0472,2200,2.02E+04
886.2783,-3600,3.16E+04
901.491,-4800,5.16E+04
922.9014,-6500,8.91E+04
,,
954.5969,-9000,1.65E+05
1 004.9369,-13000,3.36E+05
1 093.798199,,1.56E+06
1 093.799454,,9.55E+05
1 093.799661,,1.69E+05
,,
1 093.801075,,9.55E+05
1 093.810612,,2.00E+06
1 093.810633,,1.88E+06
1 093.811150,,7.82E+03
1 093.811173,,3.13E+05
,,
1 093.812635,,3.38E+05
1 093.812771,,7.83E+04
1 093.814666,,2.15E+06
1 093.814936,,1.43E+05
1 093.815474,,7.04E+04
,,
1 093.8086,14000,7.78E+05
1 281.792576,,2.83E+06
1 281.794286,,1.64E+06
1 281.796036,,3.02E+05
1 281.798135,,1.64E+06
,,
1 281.8070,32000,2.20E+06
1 281.809075,,4.24E+06
1 281.809111,,3.39E+06
1 281.810348,,1.50E+04
1 281.810393,,5.65E+05
,,
1 281.813853,,6.03E+05
