Wavelength,Flux,BestFit,SkyFlux
3801.019,4.973,7.549,5.208
3801.894,11.402,7.506,5.351
3802.769,4.585,7.430,5.252
3803.645,7.782,7.438,5.225
3804.521,8.624,7.160,5.252
3805.397,9.569,6.973,5.300
3806.274,14.139,6.994,5.362
3807.150,13.299,6.985,5.398
3808.027,7.177,6.856,5.390
3808.904,9.365,7.240,5.517
3809.781,7.959,7.352,5.581
3810.658,9.275,7.420,5.648
3811.536,1.670,7.463,5.619
3812.414,14.046,7.490,5.667
3813.291,16.438,7.579,5.809
3814.170,8.940,7.356,5.864
3815.048,8.042,7.315,5.780
3815.926,4.605,7.335,5.459
3816.805,7.299,7.305,5.416
3817.684,13.630,7.429,5.419
3818.563,11.114,7.820,5.548
3819.443,7.886,7.657,5.404
3820.322,8.665,7.325,4.980
3821.202,4.662,7.092,4.644
3822.082,3.535,7.141,4.873
3822.962,12.224,7.239,4.768
3823.843,13.462,7.011,4.789
3824.723,-1.000,7.017,4.875
3825.604,4.412,7.276,4.877
3826.485,3.241,7.264,4.743
3827.366,5.030,7.075,4.471
3828.247,11.700,7.052,4.871
3829.129,10.006,7.228,5.906
3830.011,3.019,7.198,7.144
3830.893,4.688,7.257,7.870
3831.775,12.975,7.421,7.731
3832.657,12.537,7.484,7.269
3833.540,15.396,7.531,7.341
3834.423,10.568,7.818,7.758
3835.306,7.301,7.871,7.392
3836.189,7.134,7.676,6.623
3837.072,7.965,7.826,6.023
3837.956,9.009,7.939,5.910
3838.840,6.350,7.696,5.973
3839.724,7.429,7.518,5.876
3840.608,17.414,7.693,5.643
3841.493,12.155,7.731,5.499
3842.377,16.035,7.747,5.571
3843.262,8.822,7.623,5.796
3844.147,6.217,7.345,5.854
3845.032,2.534,7.207,5.799
3845.918,4.804,7.274,5.848
3846.803,7.383,7.272,6.139
3847.689,5.688,7.305,6.288
3848.575,7.127,7.189,5.962
3849.462,4.516,7.080,5.248
3850.348,13.479,7.389,4.944
3851.235,12.948,7.462,4.978
3852.122,9.905,7.471,5.034
3853.009,10.617,7.458,4.880
3853.896,6.409,7.414,4.713
3854.784,7.188,7.335,4.830
3855.671,8.052,7.247,5.204
3856.559,3.477,7.192,5.534
3857.447,10.437,7.084,5.349
3858.336,4.632,6.899,4.568
3859.224,4.618,6.788,3.852
3860.113,10.934,6.810,3.565
3861.002,0.398,6.825,3.930
3861.891,4.358,6.779,4.513
3862.780,9.218,6.963,4.864
3863.670,6.368,7.145,4.884
3864.560,5.551,7.230,4.796
3865.449,4.515,7.312,4.918
3866.340,5.813,7.441,5.117
3867.230,7.799,7.366,5.231
3868.121,-0.744,7.327,4.896
3869.011,5.658,7.275,4.260
3869.902,9.767,7.339,3.632
3870.793,10.353,7.546,3.160
3871.685,8.284,7.663,2.955
3872.576,6.648,7.599,3.059
3873.468,8.409,7.638,3.594
3874.360,3.340,7.687,4.657
3875.252,5.749,7.710,5.621
3876.145,10.904,7.648,5.994
3877.037,7.183,7.467,5.766
3877.930,13.969,7.524,5.256
3878.823,12.004,7.729,4.752
3879.717,5.094,7.737,4.467
3880.610,3.992,7.670,4.263
3881.504,8.450,7.707,4.052
3882.398,14.910,7.729,3.912
3883.292,12.283,7.557,3.983
3884.186,9.789,7.475,4.379
3885.080,9.512,7.605,4.620
3885.975,9.937,7.611,4.709
3886.870,4.767,7.422,4.988
3887.765,4.725,7.423,6.381
3888.660,10.742,7.514,8.345
3889.556,11.127,7.384,9.041
3890.451,6.100,7.328,8.053
3891.347,10.866,7.353,6.772
3892.243,16.414,7.334,5.005
3893.140,6.391,7.283,4.379
3894.036,13.720,7.298,4.330
3894.933,8.992,7.237,4.746
3895.830,5.805,7.092,5.068
3896.727,5.930,7.139,5.289
3897.625,3.292,7.351,5.447
3898.522,5.051,7.307,5.611
3899.420,9.181,7.096,5.368
3900.318,9.887,7.049,5.134
3901.216,9.672,7.022,5.396
3902.114,8.888,7.030,6.334
3903.013,-2.401,6.998,6.902
3903.912,-0.199,6.748,6.931
3904.811,5.083,6.631,6.594
3905.710,6.483,6.591,6.488
3906.609,7.507,6.606,6.969
3907.509,5.023,6.544,7.531
3908.409,6.675,6.451,8.037
3909.309,5.005,6.513,8.687
3910.209,5.110,6.463,9.046
3911.110,7.689,6.444,9.180
3912.010,8.123,6.640,9.419
3912.911,5.249,6.785,10.439
3913.812,3.852,6.785,11.333
3914.714,7.544,6.910,10.637
3915.615,10.183,7.010,9.900
3916.517,4.172,6.865,8.731
3917.419,1.618,6.819,7.751
3918.321,5.501,6.723,7.129
3919.223,6.288,6.513,6.702
3920.126,8.350,6.454,6.214
3921.029,7.780,6.300,5.713
3921.931,5.066,6.104,5.210
3922.835,6.284,6.096,4.897
3923.738,9.126,6.190,4.847
3924.642,7.342,6.211,4.721
3925.545,7.907,6.123,4.556
3926.449,7.614,6.022,4.313
3927.354,7.981,6.012,4.223
3928.258,7.669,6.069,4.134
3929.163,3.845,6.172,4.092
3930.067,8.324,6.352,3.832
3930.972,10.790,6.570,3.493
3931.878,6.845,6.555,3.225
3932.783,5.976,6.816,3.262
3933.689,7.543,6.942,3.527
3934.595,10.665,6.962,3.678
3935.501,2.717,7.072,3.420
3936.407,9.848,7.228,3.034
3937.314,10.736,7.328,3.167
3938.220,6.496,7.387,3.786
3939.127,7.534,7.536,4.525
3940.034,7.997,7.614,5.149
3940.942,6.137,7.574,5.503
3941.849,11.046,7.599,5.745
3942.757,13.490,7.518,5.774
3943.665,6.295,7.460,5.478
3944.573,8.449,7.382,5.212
3945.481,0.978,7.231,5.502
3946.390,7.488,7.052,6.423
3947.299,12.954,6.971,6.299
3948.208,8.892,7.011,6.298
3949.117,6.496,6.933,6.434
3950.026,10.059,6.952,6.315
3950.936,9.265,6.966,5.704
3951.846,3.385,6.862,5.042
3952.756,3.098,6.747,4.830
3953.666,8.052,6.660,5.399
3954.577,5.941,6.907,6.213
3955.487,6.403,6.893,6.486
3956.398,7.667,6.810,6.130
3957.309,7.181,6.975,5.583
3958.221,9.053,7.144,5.311
3959.132,12.786,7.008,5.370
3960.044,10.187,6.952,5.404
3960.956,5.433,6.898,5.337
3961.868,8.232,6.765,5.038
3962.780,13.265,6.614,4.550
3963.693,10.419,6.587,4.154
3964.606,3.550,6.746,4.026
3965.519,5.602,6.913,4.041
3966.432,5.369,7.019,4.020
3967.345,1.831,7.125,3.844
3968.259,6.671,7.311,3.492
3969.173,4.504,7.546,3.269
3970.087,9.164,7.618,3.262
3971.001,-0.092,7.659,3.498
3971.915,8.595,7.747,3.754
3972.830,6.555,7.723,4.122
3973.745,5.437,7.504,4.649
3974.660,7.062,7.217,5.107
3975.575,7.770,6.920,5.481
3976.491,6.231,6.862,5.827
3977.407,5.252,6.850,6.242
3978.323,10.127,6.725,6.318
3979.239,3.488,6.660,6.304
3980.155,4.072,6.911,6.209
3981.072,7.820,7.014,6.477
3981.988,9.288,7.158,6.798
3982.905,7.236,7.344,6.714
3983.823,6.789,7.445,6.332
3984.740,9.261,7.455,5.938
3985.658,10.838,7.527,5.793
3986.576,11.273,7.667,5.661
3987.494,11.996,7.661,5.276
3988.412,6.988,7.436,5.384
3989.330,12.045,7.337,6.059
3990.249,8.151,7.324,6.387
3991.168,6.631,7.002,6.270
3992.087,8.319,7.070,5.978
3993.006,9.533,6.946,5.821
3993.926,9.500,6.822,5.914
3994.846,7.883,6.876,5.919
3995.766,5.762,6.953,5.773
3996.686,7.929,6.879,5.419
3997.606,9.795,7.133,5.300
3998.527,8.129,7.212,5.666
3999.447,4.259,7.351,6.267
4000.369,9.400,7.590,6.588
4001.290,11.580,7.719,6.545
4002.211,11.132,7.665,6.530
4003.133,10.408,7.855,6.696
4004.055,7.795,7.993,6.743
4004.977,8.575,7.998,6.425
4005.899,7.519,7.960,5.785
4006.822,9.901,7.962,5.387
4007.744,8.058,7.982,5.894
4008.667,10.544,7.913,6.864
4009.590,6.798,7.809,7.775
4010.514,6.389,7.827,8.026
4011.437,8.946,7.871,7.686
4012.361,9.481,7.744,7.332
4013.285,10.257,7.508,7.091
4014.209,8.411,7.690,6.950
4015.134,8.331,7.701,6.989
4016.058,5.999,7.575,7.089
4016.983,8.691,7.493,6.585
4017.908,6.972,7.510,6.307
4018.833,7.678,7.565,6.763
4019.759,9.803,7.647,7.347
4020.685,11.196,7.650,7.374
4021.610,10.671,7.763,7.415
4022.537,9.821,7.796,8.028
4023.463,13.595,7.655,8.478
4024.389,11.209,7.579,8.132
4025.316,9.813,7.469,7.572
4026.243,13.259,7.512,7.376
4027.170,7.703,7.477,7.251
4028.098,7.189,7.321,6.933
4029.025,7.395,7.151,6.752
4029.953,5.703,7.065,6.676
4030.881,3.969,7.122,6.526
4031.809,3.701,7.334,6.185
4032.738,10.322,7.322,6.009
4033.667,9.941,7.221,6.075
4034.596,7.057,7.231,6.185
4035.525,7.785,7.202,6.141
4036.454,8.566,7.052,6.249
4037.383,10.181,7.059,6.823
4038.313,7.201,7.097,7.521
4039.243,5.233,7.124,7.457
4040.173,8.433,7.243,6.993
4041.104,9.921,7.516,7.506
4042.034,9.382,7.702,8.718
4042.965,6.850,7.694,8.694
4043.896,8.482,7.635,8.423
4044.827,7.385,7.580,9.531
4045.759,5.288,7.587,11.578
4046.691,6.185,7.720,16.025
4047.622,5.684,7.781,20.877
4048.555,7.531,7.841,21.215
4049.487,9.577,7.885,16.497
4050.419,7.843,7.938,11.555
4051.352,11.724,7.972,9.365
4052.285,10.040,7.911,8.207
4053.218,5.997,7.880,7.425
4054.152,12.522,7.742,7.141
4055.085,12.924,7.484,7.368
4056.019,9.167,7.245,7.582
4056.953,8.474,7.061,7.560
4057.887,7.929,6.838,6.879
4058.822,8.533,6.741,6.223
4059.757,8.809,6.702,6.368
4060.692,2.032,6.820,7.300
4061.627,6.660,6.989,8.001
4062.562,8.733,7.136,7.545
4063.498,6.033,7.361,7.158
4064.433,10.262,7.563,7.454
4065.369,6.394,7.672,7.785
4066.305,7.783,7.809,7.901
4067.242,11.109,8.004,7.800
4068.178,7.875,8.087,7.878
4069.115,5.885,7.925,8.116
4070.052,9.272,7.964,8.188
4070.990,8.593,7.718,7.676
4071.927,5.941,7.362,7.048
4072.865,5.192,7.069,6.955
4073.803,6.560,6.814,7.021
4074.741,7.367,6.547,7.241
4075.679,5.536,6.575,7.725
4076.618,8.435,7.065,8.051
4077.557,10.171,7.877,8.577
4078.496,7.440,9.033,9.318
4079.435,11.172,10.371,9.717
4080.374,14.615,11.418,9.397
4081.314,16.810,12.122,8.692
4082.254,17.289,12.614,8.481
4083.194,16.043,12.568,8.435
4084.134,11.942,11.632,8.095
4085.075,8.709,10.023,7.654
4086.015,8.526,8.514,7.404
4086.956,9.120,7.322,7.453
4087.898,7.815,6.638,7.903
4088.839,5.692,6.219,8.019
4089.781,5.464,6.009,7.253
4090.722,7.104,5.985,6.686
4091.664,6.196,6.037,6.572
4092.607,10.272,6.318,6.384
4093.549,5.316,6.539,6.234
4094.492,5.198,6.882,6.132
4095.435,8.546,7.201,6.057
4096.378,8.526,7.347,6.121
4097.321,8.073,7.431,6.399
4098.265,8.930,7.329,6.613
4099.208,6.076,7.136,6.533
4100.152,7.720,6.963,6.433
4101.097,6.141,6.770,6.305
4102.041,2.455,6.538,5.844
4102.986,6.342,6.356,5.391
4103.931,2.240,6.197,5.392
4104.876,0.310,6.113,5.794
4105.821,2.889,6.027,6.037
4106.766,6.174,6.104,5.945
4107.712,6.948,6.458,5.970
4108.658,3.207,6.906,6.364
4109.604,6.606,7.249,6.593
4110.551,10.363,7.529,6.469
4111.497,7.530,7.641,6.142
4112.444,11.217,7.695,6.350
4113.391,4.711,7.749,6.835
4114.338,6.280,7.634,6.994
4115.286,9.610,7.366,6.850
4116.233,9.869,7.316,6.799
4117.181,8.995,7.324,6.747
4118.130,5.658,7.346,6.210
4119.078,5.833,7.377,5.828
4120.026,4.707,7.342,6.039
4120.975,6.283,7.400,6.371
4121.924,10.698,7.423,6.245
4122.873,5.765,7.358,6.414
4123.823,6.769,7.323,6.723
4124.772,8.957,7.287,6.835
4125.722,7.224,7.080,6.664
4126.672,6.478,7.045,6.518
4127.623,8.117,6.976,6.710
4128.573,7.241,7.026,6.918
4129.524,6.838,7.223,6.639
4130.475,8.963,7.401,5.993
4131.426,8.011,7.425,5.679
4132.378,8.751,7.571,6.193
4133.329,9.807,7.820,6.630
4134.281,8.889,8.028,6.550
4135.233,7.367,8.160,6.514
4136.185,7.571,8.257,6.871
4137.138,9.796,8.370,7.066
4138.091,10.112,8.550,6.747
4139.044,7.504,8.651,6.867
4139.997,12.627,8.695,7.363
4140.950,10.939,8.809,7.249
4141.904,12.702,8.937,6.659
4142.858,11.250,8.838,6.235
4143.812,7.280,8.698,5.969
4144.766,8.334,8.570,5.853
4145.720,8.063,8.374,6.015
4146.675,7.120,8.164,6.288
4147.630,9.012,7.991,6.258
4148.585,6.707,7.812,5.988
4149.540,5.769,7.706,6.232
4150.496,8.878,7.661,6.435
4151.452,6.775,7.619,5.870
4152.408,12.495,7.479,5.707
4153.364,12.418,7.280,5.989
4154.321,7.749,7.173,6.253
4155.277,7.700,6.972,6.723
4156.234,7.012,6.740,7.175
4157.191,5.061,6.690,7.342
4158.149,6.313,6.651,7.198
4159.106,4.843,6.490,7.187
4160.064,6.587,6.435,7.170
