Wavelength,Flux,BestFit,SkyFlux
3569.439,78.875,73.032,9.101
3570.261,77.798,73.947,10.110
3571.083,73.920,74.562,10.563
3571.906,63.973,73.543,11.096
3572.728,82.649,72.333,11.281
3573.551,70.207,72.056,11.523
3574.374,54.749,72.601,11.062
3575.197,60.154,73.268,10.972
3576.021,73.403,73.686,10.744
3576.844,71.063,74.065,10.433
3577.668,79.543,74.417,9.816
3578.492,74.411,74.941,9.372
3579.316,69.351,75.767,9.042
3580.140,73.825,76.744,8.721
3580.964,79.081,77.415,8.149
3581.789,73.956,77.428,7.850
3582.614,76.196,76.156,7.400
3583.439,66.957,73.818,7.155
3584.264,54.564,71.839,7.008
3585.089,59.505,71.668,6.805
3585.915,79.036,72.970,6.707
3586.741,84.486,72.944,6.540
3587.567,72.190,70.922,6.327
3588.393,74.664,68.706,6.489
3589.219,70.406,67.732,6.895
3590.046,64.455,68.222,7.436
3590.873,61.744,69.456,8.216
3591.700,56.983,70.819,8.965
3592.527,75.565,72.525,9.530
3593.354,76.595,74.613,9.499
3594.181,74.627,76.541,9.014
3595.009,72.184,77.579,8.969
3595.837,74.048,77.553,9.502
3596.665,83.358,77.320,10.275
3597.493,60.205,77.450,10.423
3598.322,73.300,77.917,9.595
3599.150,69.845,78.545,9.580
3599.979,64.505,79.165,9.634
3600.808,77.726,79.623,10.209
3601.638,86.761,79.918,10.542
3602.467,94.356,80.095,7.660
3603.297,89.114,79.793,7.071
3604.126,71.437,78.654,6.716
3604.956,67.900,76.753,7.320
3605.786,75.298,74.858,7.147
3606.617,66.392,73.881,7.391
3607.447,81.917,73.669,7.529
3608.278,72.712,74.046,8.028
3609.109,69.483,74.784,7.664
3609.940,70.490,75.358,6.815
3610.771,69.446,74.976,5.576
3611.603,76.443,73.586,5.852
3612.435,73.377,72.651,7.120
3613.267,64.198,72.829,8.436
3614.099,71.400,73.665,8.959
3614.931,82.567,74.137,8.975
3615.763,81.478,73.631,9.644
3616.596,74.141,73.196,11.642
3617.429,72.401,74.124,13.665
3618.262,65.078,75.756,13.928
3619.095,66.411,76.715,12.834
3619.929,79.714,75.940,12.007
3620.762,83.739,73.505,12.174
3621.596,64.137,71.098,12.603
3622.430,73.111,70.684,12.761
3623.264,68.478,72.009,12.568
3624.099,72.728,73.908,11.464
3624.933,75.171,75.388,10.610
3625.768,73.524,76.130,11.061
3626.603,86.612,76.158,12.450
3627.438,81.126,76.562,12.805
3628.273,84.348,77.991,11.946
3629.109,83.808,79.936,11.294
3629.945,81.354,81.303,11.781
3630.781,81.915,81.431,12.748
3631.617,80.768,80.535,14.055
3632.453,78.494,77.945,14.985
3633.289,72.922,73.985,15.130
3634.126,65.315,70.409,14.672
3634.963,69.083,69.175,14.605
3635.800,78.894,70.531,14.741
3636.637,72.748,72.197,14.630
3637.475,70.344,73.097,14.503
3638.313,84.084,73.673,14.645
3639.150,81.675,74.400,14.835
3639.988,78.315,75.447,14.326
3640.827,86.288,76.854,14.522
3641.665,84.837,78.462,14.848
3642.504,75.738,79.506,14.633
3643.343,77.041,79.545,13.719
3644.182,70.247,78.627,12.701
3645.021,71.191,77.085,12.147
3645.860,81.151,75.326,12.067
3646.700,77.605,73.805,11.448
3647.539,91.002,73.052,11.080
3648.379,72.142,73.280,11.591
3649.220,71.446,74.058,13.884
3650.060,75.195,74.612,16.838
3650.901,70.612,74.513,18.434
3651.741,80.886,74.377,17.976
3652.582,74.421,74.463,15.691
3653.423,82.233,74.893,13.839
3654.265,80.464,75.805,14.015
3655.106,83.868,77.174,15.390
3655.948,91.694,78.567,15.276
3656.790,74.584,79.324,13.413
3657.632,71.665,79.458,12.172
3658.474,82.396,79.454,12.219
3659.317,80.870,79.704,13.082
3660.159,79.837,80.250,13.923
3661.002,86.776,80.731,13.846
3661.845,83.146,80.779,13.958
3662.689,76.695,80.649,14.595
3663.532,80.494,80.508,15.199
3664.376,74.965,80.226,14.367
3665.220,70.128,79.618,13.209
3666.064,76.333,78.814,12.426
3666.908,82.279,78.357,11.747
3667.752,83.128,78.578,10.918
3668.597,84.561,79.090,9.774
3669.442,83.527,79.357,9.427
3670.287,84.092,79.050,9.933
3671.132,85.421,78.173,9.998
3671.977,79.600,76.914,9.952
3672.823,74.910,76.415,9.514
3673.669,81.578,77.291,9.647
3674.515,79.387,78.978,10.140
3675.361,78.427,80.209,9.845
3676.207,83.102,80.101,9.271
3677.054,78.684,79.398,8.933
3677.901,82.238,79.077,8.504
3678.748,82.488,78.621,8.193
3679.595,82.480,77.511,8.392
3680.442,82.282,76.036,7.817
3681.290,77.370,75.194,6.754
3682.137,68.962,75.182,6.338
3682.985,74.307,75.431,7.084
3683.834,74.624,75.938,7.636
3684.682,72.567,76.636,7.850
3685.530,74.282,77.275,8.014
3686.379,78.756,77.599,7.753
3687.228,79.112,77.308,7.494
3688.077,75.449,76.313,6.925
3688.926,75.990,75.137,7.241
3689.776,71.306,74.372,7.447
3690.626,74.770,74.473,7.794
3691.476,82.499,75.591,8.558
3692.326,71.794,77.201,8.711
3693.176,75.677,78.581,8.991
3694.026,80.465,79.613,9.500
3694.877,84.426,80.296,9.088
3695.728,83.657,80.535,7.929
3696.579,81.556,80.276,7.129
3697.430,85.470,79.926,7.908
3698.282,79.097,79.576,9.543
3699.133,78.016,78.931,11.529
3699.985,83.947,78.324,12.626
3700.837,84.254,78.671,13.032
3701.690,79.529,80.584,12.879
3702.542,83.634,82.911,12.769
3703.395,81.740,83.908,11.743
3704.248,79.135,83.157,11.180
3705.101,75.455,80.920,10.905
3705.954,76.425,77.750,10.619
3706.807,76.612,74.515,10.326
3707.661,65.056,72.374,10.483
3708.515,67.268,71.689,10.077
3709.369,67.884,72.422,9.642
3710.223,68.347,74.072,9.937
3711.077,72.482,75.740,10.689
3711.932,77.304,76.522,10.408
3712.787,75.926,76.379,10.364
3713.642,72.306,75.626,10.910
3714.497,74.358,75.064,11.023
3715.352,78.025,75.768,10.567
3716.208,79.095,78.293,9.703
3717.064,78.025,81.674,9.462
3717.920,78.093,83.764,9.689
3718.776,78.921,84.830,9.092
3719.632,83.498,85.649,7.593
3720.489,85.526,85.879,6.430
3721.346,82.557,84.373,6.240
3722.203,75.353,80.448,6.478
3723.060,66.761,75.213,6.965
3723.917,63.453,70.644,7.354
3724.775,59.894,68.503,7.837
3725.632,64.881,69.709,8.360
3726.490,70.866,73.807,8.586
3727.348,71.911,78.736,8.790
3728.207,74.703,82.378,9.102
3729.065,77.850,83.385,9.549
3729.924,76.144,82.430,9.728
3730.783,79.565,81.565,9.660
3731.642,84.858,82.300,10.219
3732.502,83.876,83.608,11.278
3733.361,77.616,82.937,11.737
3734.221,77.284,80.642,11.307
3735.081,72.008,77.043,10.818
3735.941,69.515,72.383,10.722
3736.801,63.871,67.557,11.115
3737.662,56.838,64.563,11.299
3738.523,61.858,65.120,12.084
3739.383,63.310,68.024,13.818
3740.245,68.398,72.063,15.393
3741.106,76.802,76.475,15.174
3741.967,82.441,80.595,14.486
3742.829,83.538,83.671,14.534
3743.691,85.101,85.408,13.589
3744.553,87.336,85.520,11.839
3745.415,81.887,84.260,10.947
3746.278,78.798,82.429,10.573
3747.141,80.775,80.768,10.149
3748.004,78.921,79.195,9.706
3748.867,68.001,77.056,9.085
3749.730,70.649,74.829,8.411
3750.594,70.330,71.777,9.040
3751.457,65.069,67.660,10.043
3752.321,59.400,63.831,10.303
3753.185,56.554,63.070,9.707
3754.050,58.493,66.722,10.065
3754.914,69.460,72.349,10.634
3755.779,73.573,77.773,10.857
3756.644,78.855,82.280,11.050
3757.509,82.907,85.969,10.419
3758.374,85.650,88.537,9.437
3759.240,90.740,88.497,8.764
3760.105,78.670,85.475,9.130
3760.971,84.670,81.703,9.082
3761.837,82.309,79.592,8.275
3762.704,80.188,80.073,7.547
3763.570,86.905,81.910,7.429
3764.437,86.255,83.638,7.715
3765.304,88.004,85.060,7.898
3766.171,87.171,85.784,8.121
3767.038,88.193,85.850,8.110
3767.905,86.341,85.523,7.477
3768.773,84.045,84.566,7.000
3769.641,87.871,82.245,7.004
3770.509,73.395,79.574,7.386
3771.377,76.019,76.723,8.231
3772.246,74.270,73.324,9.499
3773.115,65.955,69.794,10.528
3773.984,63.193,68.378,10.463
3774.853,69.981,71.287,9.730
3775.722,78.128,76.101,9.496
3776.591,81.550,80.151,9.908
3777.461,82.573,82.543,9.837
3778.331,85.278,83.913,10.208
3779.201,89.375,85.373,10.559
3780.071,91.529,87.098,9.762
3780.942,95.239,88.534,9.286
3781.813,97.281,89.947,9.204
3782.683,98.311,91.660,9.232
3783.555,97.153,93.440,9.850
3784.426,95.978,94.477,10.104
3785.297,98.619,94.670,10.448
3786.169,96.210,95.023,10.331
3787.041,92.520,95.308,9.251
3787.913,94.245,94.380,7.927
