waveLength,energyDensity
91.232366,0.0000008
91.2353295,0.0000008
91.2385303,0.0000008
91.2419943,0.0000008
91.2457513,0.0000008
91.2498352,0.0000008
91.2542852,0.0000008
91.2591463,0.0000008
91.2644709,0.0000008
91.2703197,0.0000008
91.2767639,0.0000008
91.2838873,0.0000008
91.2917887,0.0000008
91.3005859,0.0000008
91.3104195,0.0000008
,
91.3214592,0.0000008
91.3339105,0.0000008
91.3480251,0.0000008
91.3641133,0.0000008
91.3825609,0.0000008
,
91.4038537,0.0000008
91.4286086,0.0000008
91.4576201,0.0000008
91.4919242,0.0000008
91.5328932,0.0000008
,
91.5823751,0.0000008
91.6429076,0.0000008
91.7180514,0.0000008
91.81293,0.0000004
91.81293175,0.00000003
,
91.81293046,0.00000003
91.81293188,0.00000003
91.9351334,0.0000005
91.93513419,0.00000003
91.93513605,0.00000003
,
91.93513358,0.000000019
91.93513586,0.00000003
92.0963006,0.0000007
92.09630369,0.00000003
92.09630145,0.00000003
,
92.09630394,0.00000003
92.3150275,0.0000009
92.31502738,0.000000017
92.31503159,0.00000003
92.3150285,0.00000003
,
92.31503193,0.00000003
92.62256653,0.0000000003
92.6225621,0.0000000005
92.62256701,0.0000000005
92.6225605,0.0000013
,
93.07481505,0.00000002
93.07482418,0.00000003
93.07481751,0.00000003
93.07482489,0.00000003
93.0748142,0.000002
,
93.78033611,0.0000000009
93.78034803,0.0000000009
93.78034687,0.0000000006
93.780331,0.000004
94.97429095,0.00000004
,
94.974287,0.000005
94.97431207,0.00000004
94.974284,0.000000021
94.97431003,0.00000004
97.25365,0.000011
,
97.2536985,0.0000000003
97.25365944,0.0000000003
97.2537027,0.0000000005
102.5721447,0.000000007
102.5721827,0.000000021
,
102.5722855,0.000000007
102.5721825,0.000000007
102.5722,0.00003
102.5722966,0.000000007
121.5668237,0.0000000006
,
121.5673645,0.0000000004
121.56701,0.00015
121.5673123,0
365.51234,0.00013
365.55993,0.00013
365.61134,0.00013
365.66698,0.00019
365.72735,0.00019
,
365.79299,0.00019
365.86453,0.00019
365.94271,0.00019
366.02837,0.00019
366.12249,0.00019
,
366.22625,0.00019
366.34098,0.00019
366.46831,0.00019
366.61016,0.00019
366.76881,0.00019
,
366.94705,0.00019
367.14823,0.00019
367.37649,0.00019
367.63692,0.00019
367.93589,0.00019
,
368.28143,0.00019
368.68376,0.00019
369.15611,0.00019
369.71581,0.00019
370.38593,0.00019
,
371.19774,0.00019
372.19449,0.00019
373.43746,0.0002
375.0124905,0.0000021
375.0125118,0.0000022
,
375.01275,0.00008
375.0129789,0.0000021
375.0129867,0.0000022
375.0129869,0.0000021
375.0130082,0.0000022
,
375.0130105,0.0000022
375.01584,0.0002
375.01515,0.00008
375.0176298,0.0000021
375.01763,0.00003
,
375.0176378,0.0000021
375.0176591,0.0000022
377.060301,0.0000021
377.060329,0.0000022
377.06056,0.00009
,
377.0608027,0.0000022
377.0608308,0.0000022
377.060834,0.0000022
377.063,0.00009
377.06368,0.0002
,
377.0654943,0.0000021
377.0655,0.00003
377.0655047,0.0000021
377.0655327,0.0000022
379.7870048,0.0000021
,
379.7870427,0.0000022
379.78727,0.00009
379.7874999,0.0000021
379.7875137,0.0000022
379.7875518,0.0000022
,
379.787556,0.0000022
379.78974,0.00009
379.79044,0.0002
379.7922699,0.0000021
379.79227,0.00003
,
379.792284,0.0000021
379.7923219,0.0000022
383.5355892,0.0000022
383.5356424,0.0000022
383.53587,0.00009
,
383.5361082,0.0000022
383.5361616,0.0000022
383.5361673,0.0000022
383.53839,0.00009
383.53909,0.00021
,
383.5409535,0.0000022
383.54096,0.00003
383.5409732,0.0000022
383.5410263,0.0000022
388.9019815,0.0000021
,
388.9020595,0.0000021
388.90227,0.00009
388.9024865,0.0000021
388.9025152,0.0000021
388.9025154,0.0000021
,
388.9025933,0.0000021
388.9026017,0.0000021
388.90486,0.00009
388.90557,0.00021
