Wavelength,Flux,BestFit,SkyFlux
3800.144,42.840,6.171,0.000
3801.019,42.831,1.333,0.000
3801.894,42.822,33.212,0.000
3802.769,42.813,55.382,0.000
3803.645,42.804,57.703,0.000
3804.521,42.795,58.397,0.000
3805.397,42.786,61.127,0.000
3806.274,42.777,57.680,0.000
3807.150,42.768,55.905,0.000
3808.027,42.759,54.510,0.000
3808.904,42.751,54.731,0.000
3809.781,42.742,58.728,0.000
3810.658,42.733,63.018,0.000
3811.536,42.724,62.797,0.000
3812.414,42.715,61.522,0.000
3813.291,42.706,59.097,0.000
3814.170,42.698,54.489,0.000
3815.048,42.689,50.335,0.000
3815.926,42.680,47.996,0.000
3816.805,42.671,47.027,0.000
3817.684,42.663,48.421,0.000
3818.563,42.654,53.303,0.000
3819.443,42.645,53.988,0.000
3820.322,42.636,49.825,0.000
3821.202,42.628,44.723,0.000
3822.082,42.619,43.809,0.000
3822.962,42.611,49.355,0.000
3823.843,42.602,51.924,0.000
3824.723,42.593,49.652,0.000
3825.604,42.585,44.605,0.000
3826.485,42.576,40.471,0.000
3827.366,42.567,40.056,0.000
3828.247,42.559,41.696,8.295
3829.129,42.550,40.847,7.215
3830.011,47.354,41.163,8.607
3830.893,42.034,42.929,8.444
3831.775,48.275,43.206,7.356
3832.657,47.460,40.256,6.515
3833.540,40.848,37.450,6.668
3834.423,38.049,34.799,7.697
3835.306,30.357,34.864,8.384
3836.189,32.582,36.119,7.951
3837.072,33.582,37.234,6.145
3837.956,41.743,37.642,3.578
3838.840,38.461,35.667,2.621
3839.724,33.729,35.156,3.471
3840.608,37.373,36.454,4.788
3841.493,44.958,39.677,5.391
3842.377,48.796,44.870,5.540
3843.262,52.204,50.908,5.675
3844.147,59.011,54.904,5.753
3845.032,58.417,56.131,5.686
3845.918,52.910,56.788,5.243
3846.803,55.956,57.751,4.975
3847.689,56.874,59.037,4.658
3848.575,59.449,60.639,4.172
3849.462,63.960,61.841,3.465
3850.348,63.885,57.872,2.962
3851.235,61.321,55.833,3.019
3852.122,60.965,57.803,3.530
3853.009,62.611,60.747,3.773
3853.896,67.101,61.433,3.512
3854.784,70.305,60.945,3.172
3855.671,62.047,58.240,2.764
3856.559,56.080,55.065,2.688
3857.447,60.454,53.282,3.211
3858.336,60.878,52.961,3.625
3859.224,57.693,51.643,3.372
3860.113,50.455,46.487,2.470
3861.002,48.636,44.140,1.685
3861.891,55.027,47.732,1.998
3862.780,57.757,54.504,3.485
3863.670,63.902,60.165,4.814
3864.560,64.839,61.895,4.736
3865.449,60.171,60.316,3.252
3866.340,68.921,58.968,1.704
3867.230,63.298,58.777,1.274
3868.121,61.285,60.081,1.868
3869.011,64.025,61.396,2.385
3869.902,65.338,60.984,2.186
3870.793,66.949,60.067,1.260
3871.685,65.970,56.746,0.184
3872.576,61.151,52.224,-0.482
3873.468,56.162,48.985,-0.406
3874.360,57.520,49.323,0.503
3875.252,55.386,53.430,1.899
3876.145,60.451,57.478,3.124
3877.037,60.073,58.568,3.624
3877.930,57.502,55.596,3.423
3878.823,53.438,51.289,2.816
3879.717,53.536,49.569,2.303
3880.610,60.347,52.525,1.937
3881.504,61.795,57.049,1.675
3882.398,69.921,56.285,1.081
3883.292,53.922,54.154,0.762
3884.186,57.699,53.545,0.829
3885.080,55.698,53.851,1.332
3885.975,54.877,52.187,1.841
3886.870,49.254,47.001,2.093
3887.765,43.811,43.778,1.963
3888.660,40.451,41.713,1.598
3889.556,36.429,40.222,1.305
3890.451,38.381,40.405,0.998
3891.347,40.794,43.885,0.904
3892.243,49.014,49.990,1.154
3893.140,53.065,53.856,2.531
3894.036,52.204,54.420,4.369
3894.933,53.049,53.571,5.167
3895.830,49.029,53.015,4.457
3896.727,53.221,53.698,3.421
3897.625,58.462,56.460,2.872
3898.522,57.532,58.760,2.945
3899.420,58.349,57.920,2.745
3900.318,54.820,56.073,2.630
3901.216,55.658,56.371,3.152
3902.114,56.008,58.514,4.572
3903.013,52.756,57.454,5.934
3903.912,55.415,56.604,5.029
3904.811,59.523,55.428,2.823
3905.710,59.052,53.262,2.091
3906.609,53.223,51.053,3.640
3907.509,51.175,51.448,5.922
3908.409,58.062,56.388,7.015
3909.309,62.661,59.977,6.938
3910.209,64.676,61.242,7.143
3911.110,66.586,61.322,7.837
3912.010,59.711,62.242,8.750
3912.911,60.341,64.317,8.049
3913.812,61.775,63.511,6.368
3914.714,67.210,61.808,5.734
3915.615,65.426,61.496,6.060
3916.517,60.355,61.668,6.440
3917.419,62.119,61.227,6.168
3918.321,60.581,60.287,5.700
3919.223,55.134,59.068,5.518
3920.126,58.083,56.837,5.063
3921.029,61.026,54.736,3.648
3921.931,54.452,53.244,2.970
3922.835,55.273,52.544,3.311
3923.738,53.519,53.077,4.115
3924.642,56.336,55.065,5.029
3925.545,56.621,56.116,5.383
3926.449,52.135,54.023,5.416
3927.354,51.854,50.833,4.662
3928.258,49.498,47.400,3.428
3929.163,45.059,42.519,2.687
3930.067,38.479,37.305,3.008
3930.972,34.262,33.256,3.534
3931.878,26.886,29.520,3.487
3932.783,22.017,24.763,2.945
3933.689,16.858,19.818,2.197
3934.595,15.227,16.986,1.773
3935.501,15.264,16.712,1.836
