waveLength,energyDensity
912.32366,0.000008
912.353295,0.000008
912.385303,0.000008
912.419943,0.000008
912.457513,0.000008
912.498352,0.000008
912.542852,0.000008
912.591463,0.000008
912.644709,0.000008
912.703197,0.000008
912.767639,0.000008
912.838873,0.000008
912.917887,0.000008
913.005859,0.000008
913.104195,0.000008
913.214592,0.000008
913.339105,0.000008
913.480251,0.000008
913.641133,0.000008
913.825609,0.000008
914.038537,0.000008
914.286086,0.000008
914.576201,0.000008
914.919242,0.000008
915.328932,0.000008
915.823751,0.000008
916.429076,0.000008
917.180514,0.000008
918.1293,0.000004
918.1293175,0.0000003
918.1293046,0.0000003
918.1293188,0.0000003
919.351334,0.000005
919.3513419,0.0000003
919.3513605,0.0000003
919.3513358,0.00000019
919.3513586,0.0000003
920.963006,0.000007
920.9630369,0.0000003
920.9630145,0.0000003
920.9630394,0.0000003
923.150275,0.000009
923.1502738,0.00000017
923.1503159,0.0000003
923.150285,0.0000003
923.1503193,0.0000003
926.2256653,0.000000003
926.225621,0.000000005
926.2256701,0.000000005
926.225605,0.000013
930.7481505,0.0000002
930.7482418,0.0000003
930.7481751,0.0000003
930.7482489,0.0000003
930.748142,0.00002
937.8033611,0.000000009
937.8034803,0.000000009
937.8034687,0.000000006
937.80331,0.00004
949.7429095,0.0000004
949.74287,0.00005
949.7431207,0.0000004
949.74284,0.00000021
949.7431003,0.0000004
972.5365,0.00011
972.536985,0.000000003
972.5365944,0.000000003
972.537027,0.000000005
1 025.72144677,0.00000007
1 025.72182693,0.00000021
1 025.72285517,0.00000007
1 025.72182505,0.00000007
1 025.7220,0.0003
1 025.72296565,0.00000007
1 215.668237310,0.000000006
1 215.673644608,0.000000004
1 215.6701,0.0015
1 215.673123130200,0
3 655.1234,0.0013
3 655.5993,0.0013
3 656.1134,0.0013
3 656.6698,0.0019
3 657.2735,0.0019
3 657.9299,0.0019
3 658.6453,0.0019
3 659.4271,0.0019
3 660.2837,0.0019
3 661.2249,0.0019
3 662.2625,0.0019
3 663.4098,0.0019
3 664.6831,0.0019
3 666.1016,0.0019
3 667.6881,0.0019
3 669.4705,0.0019
3 671.4823,0.0019
3 673.7649,0.0019
3 676.3692,0.0019
3 679.3589,0.0019
3 682.8143,0.0019
3 686.8376,0.0019
3 691.5611,0.0019
3 697.1581,0.0019
3 703.8593,0.0019
3 711.9774,0.0019
3 721.9449,0.0019
3 734.3746,0.002
3 750.124905,0.000021
3 750.125118,0.000022
3 750.1275,0.0008
3 750.129789,0.000021
3 750.129867,0.000022
3 750.129869,0.000021
3 750.130082,0.000022
3 750.130105,0.000022
3 750.1584,0.002
3 750.1515,0.0008
3 750.176298,0.000021
3 750.1763,0.0003
3 750.176378,0.000021
3 750.176591,0.000022
3 770.603010,0.000021
3 770.603290,0.000022
3 770.6056,0.0009
3 770.608027,0.000022
3 770.608308,0.000022
3 770.608340,0.000022
3 770.6300,0.0009
3 770.6368,0.002
3 770.654943,0.000021
3 770.6550,0.0003
3 770.655047,0.000021
3 770.655327,0.000022
3 797.870048,0.000021
3 797.870427,0.000022
3 797.8727,0.0009
3 797.874999,0.000021
3 797.875137,0.000022
3 797.875518,0.000022
3 797.875560,0.000022
3 797.8974,0.0009
3 797.9044,0.002
3 797.922699,0.000021
3 797.9227,0.0003
3 797.922840,0.000021
3 797.923219,0.000022
3 835.355892,0.000022
3 835.356424,0.000022
3 835.3587,0.0009
3 835.361082,0.000022
3 835.361616,0.000022
3 835.361673,0.000022
3 835.3839,0.0009
3 835.3909,0.0021
3 835.409535,0.000022
3 835.4096,0.0003
3 835.409732,0.000022
3 835.410263,0.000022
3 889.019815,0.000021
3 889.020595,0.000021
3 889.0227,0.0009
3 889.024865,0.000021
3 889.025152,0.000021
3 889.025154,0.000021
3 889.025933,0.000021
3 889.026017,0.000021
3 889.0486,0.0009
3 889.0557,0.0021
3 889.074883,0.000021
3 889.0749,0.0003
3 889.075172,0.000021
3 889.075951,0.000021
3 970.041763,0.000022
3 970.042976,0.000022
3 970.0448,0.0009
3 970.047325,0.000022
3 970.048539,0.000022
3 970.048670,0.000022
3 970.0719,0.0009
3 970.0788,0.0022
3 970.099002,0.000022
3 970.0991,0.0003
3 970.099450,0.000022
3 970.100663,0.000022
4 101.702284,0.000021
4 101.704339,0.000021
4 101.7056,0.001
4 101.707462,0.000021
4 101.708218,0.000021
4 101.710277,0.000021
4 101.710499,0.000021
4 101.7415,0.0024
4 101.7346,0.001
4 101.763100,0.000021
4 101.7632,0.0003
4 101.763860,0.000021
4 101.765915,0.000021
4 340.426937,0.000022
4 340.4309,0.0011
4 340.430904,0.000023
4 340.433568,0.000023
4 340.437554,0.000023
4 340.437982,0.000023
4 340.4634,0.0011
4 340.471,0.003
4 340.494419,0.000022
4 340.4947,0.0004
4 340.495889,0.000022
4 340.499857,0.000023
4 861.278624,0.000024
4 861.283363,0.000024
4 861.2841,0.0014
4 861.286949,0.000024
4 861.288370,0.000024
4 861.296711,0.000024
4 861.297761,0.000024
4 861.3250,0.0014
4 861.333,0.003
4 861.361516,0.000024
4 861.3622,0.0005
4 861.365118,0.000024
4 861.374864,0.000024
6 562.70970,0.00003
6 562.714,0.004
6 562.722,0.009
6 562.72483,0.00003
6 562.75181,0.00003
6 562.76701,0.00003
6 562.770,0.006
6 562.77153,0.00003
6 562.819,0.007
6 562.795,0.009
6 562.85177,0.00003
6 562.8533,0.0003
6 562.854,0.003
6 562.86734,0.00003
6 562.90944,0.00003
