waveLength,energyDensity
,
91.232366,
91.2353295,
91.2385303,
91.2419943,
91.2457513,
,
91.2498352,
91.2542852,
91.2591463,
91.2644709,
91.2703197,
,
91.2767639,
91.2838873,
91.2917887,
91.3005859,
91.3104195,
,
91.3214592,
91.3339105,
91.3480251,
91.3641133,
91.3825609,
,
91.4038537,
91.4286086,
91.4576201,
91.4919242,
91.5328932,
,
91.5823751,
91.6429076,
91.7180514,
91.81293,5600
91.81293175,
,
91.81293046,
91.81293188,
91.9351334,6100
91.93513419,
91.93513605,
,
91.93513358,
91.93513586,
92.0963006,7400
92.09630369,
92.09630145,
,
92.09630394,
92.3150275,12000
92.31502738,
92.31503159,
92.3150285,
,
92.31503193,
92.62256653,
92.6225621,
92.62256701,
92.6225605,11000
,
93.07481505,
93.07482418,
93.07481751,
93.07482489,
93.0748142,5600
,
93.78033611,
93.78034803,
93.78034687,
93.780331,19000
94.97429095,
,
94.974287,33000
94.97431207,
94.974284,
94.97431003,
97.25365,83000
,
97.2536985,
97.25365944,
97.2537027,
102.5721447,
102.5721827,
,
102.5722855,
102.5721825,
102.5722,250000
102.5722966,
121.5668237,
,
121.5673645,
121.56701,840000
121.5673123,
,
,
365.51234,
365.55993,
365.61134,
365.66698,700
365.72735,700
,
365.79299,700bl
365.86453,700
365.94271,700
366.02837,700bl
366.12249,800
,
366.22625,1100bl
366.34098,900bl
366.46831,1000bl
366.61016,900
366.76881,1000
,
366.94705,1300
367.14823,1200bl
367.37649,1300
367.63692,1400
367.93589,1700
,
368.28143,1700
368.68376,2000
369.15611,2300
369.71581,2300
370.38593,2800
,
371.19774,3300
372.19449,5000
373.43746,6000
375.0124905,
375.0125118,
,
375.01275,
375.0129789,
375.0129867,
375.0129869,
375.0130082,
,
375.0130105,
375.01584,8000
375.01515,
375.0176298,
375.01763,
,
375.0176378,
375.0176591,
377.060301,
377.060329,
377.06056,
,
377.0608027,
377.0608308,
377.060834,
377.063,
377.06368,9000
,
377.0654943,
377.0655,
377.0655047,
377.0655327,
379.7870048,
,
379.7870427,
379.78727,
379.7874999,
379.7875137,
379.7875518,
,
379.787556,
379.78974,
379.79044,17000
379.7922699,
379.79227,
,
379.792284,
379.7923219,
383.5355892,
383.5356424,
383.53587,
,
383.5361082,
383.5361616,
383.5361673,
383.53839,
383.53909,30000
,
383.5409535,
383.54096,
383.5409732,
383.5410263,
388.9019815,
,
388.9020595,
388.90227,
388.9024865,
388.9025152,
388.9025154,
,
388.9025933,
388.9026017,
388.90486,
388.90557,70000
388.9074883,
,
388.90749,
388.9075172,
388.9075951,
397.0041763,
397.0042976,
,
397.00448,
397.0047325,
397.0048539,
397.004867,
397.00719,
,
397.00788,30000
397.0099002,
397.00991,
397.009945,
397.0100663,
,
410.1702284,
410.1704339,
410.17056,
410.1707462,
410.1708218,
,
410.1710277,
410.1710499,
410.17415,70000
410.17346,
410.17631,
,
410.17632,
410.176386,
410.1765915,
434.0426937,
434.04309,
,
434.0430904,
434.0433568,
434.0437554,
434.0437982,
434.04634,
,
434.0471,90000
434.0494419,
434.04947,
434.0495889,
434.0499857,
,
486.1278624,
486.1283363,
486.12841,
486.1286949,
486.128837,
,
486.1296711,
486.1297761,
486.1325,
486.1333,180000
486.1361516,
,
486.13622,
486.1365118,
486.1374864,
656.27097,
656.2714,
,
656.2722,
656.272483,
656.275181,
656.276701,
656.277,
,
656.277153,
656.2819,500000
656.2795,
656.285177,
656.28533,
,
656.2854,
656.286734,
656.290944,
824.9974,90
825.2399,90
,
825.5019,90
825.7856,110
826.0936,110
826.4285,110
826.7938,110
,
827.1931,140
827.6309,140
828.1123,140
828.6432,140
829.2308,170
,
829.8835,210
830.6113,250
831.4261,290
832.3425,290
833.3783,370
,
834.5553,500
835.9004,500
837.4476,600
839.2397,700
841.3318,700
,
843.7956,700
846.7254,700
850.2483,-1200
854.5383,-1400
859.8392,2300
,
866.5018,-2200
875.0472,2200
886.2783,-3600
901.491,-4800
922.9014,-6500
,
954.5969,-9000
1 004.9369,-13000
1 093.798199,
1 093.799454,
1 093.799661,
,
1 093.801075,
1 093.810612,
1 093.810633,
1 093.811150,
1 093.811173,
,
1 093.812635,
1 093.812771,
1 093.814666,
1 093.814936,
1 093.815474,
,
1 093.8086,14000
1 281.792576,
1 281.794286,
1 281.796036,
1 281.798135,
,
1 281.8070,32000
1 281.809075,
1 281.809111,
1 281.810348,
1 281.810393,
,
1 281.813853,
1 281.814197,
1 281.814378,
1 281.815013,
1 281.816286,
,
1 519.1861,
1 526.0555,
1 534.1807,
1 543.8938,
1 555.6466,800
,
1 570.0679,-800
1 588.0559,-1000
1 610.9330,-1200
1 640.7210,1400
1 680.6538,1600
,
1 736.2127,3100
1 817.4141,2800
1 875.068381,
1 875.072050,
1 875.082881,
,
1 875.088135,
1 875.101086,
1 875.101149,
1 875.106422,
1 875.106508,
,
1 875.111120,
1 875.113794,
1 875.119130,
1 875.121008,
1 875.122507,
,
1 875.0976,-51000
1 944.5582,-4500
