waveLength,energyDensity
,
23.43471606,
23.43472798,
23.73306641,
23.73308753,
24.30264445,
,
24.3026877,
25.63165628,
25.6317703,
30.37804098,
30.37858151,
,
32.02925,10*
32.02935,10*
32.02924,10*
50.550037,2
50.568435,3
,
50.591252,4
50.620035,5
50.657055,7
50.7058021,10
50.7718095,15
,
50.8643376,20
50.9998293,25
51.0132988,
51.2098563,35
51.2135642,
,
51.2314128,
51.5616842,50
51.5681115,
51.5993988,
52.2213086,100
,
52.233926,
52.2965942,
53.7029918,400
53.7331173,
53.8895999,
,
58.4334357,1000
59.1412071,50
59.1412339,
62.5563107,
102.5240826,
,
102.5242919,
102.5245746,
102.5248026,
102.5301636,
102.5302396,
,
102.5304488,
108.4907471,
108.491152,
108.4912976,
108.4917389,
,
108.4974945,
108.4976415,
108.4980465,
121.5088093,
121.509499,
,
121.5098013,
121.51058,
121.5170973,
121.5174576,
121.5184498,
,
164.0332128,
164.0344654,
164.0374994,
164.0391352,
164.0474175,
,
164.0489741,
164.0532615,
,
,
257.76,50
267.7128032,1*
267.7128514,1*
267.7128553,1*
269.6117588,1*
,
269.611826,1*
269.6118315,1*
272.3191,1*
272.3191979,1*
272.3192059,1*
,
273.3184772,
273.3195172,
273.3199647,
273.3211384,
273.330886,
,
273.3309064,
273.3314226,
273.3314467,
273.3329344,
273.3330439,
,
273.3349388,
273.335209,
273.3357457,
276.3801579,2*
276.3803093,2*
,
276.3803217,2*
281.82,10
282.9078407,4*
282.9080946,4*
282.9081153,4*
,
294.5098925,10*
294.5103735,10*
294.5104128,10*
301.371,40
318.7733175,
,
318.774439,20*
318.7745305,20*
320.2946921,
320.2961177,
320.2982222,
,
320.2999646,
320.3111934,
320.3112204,
320.312467,
320.3125027,
,
320.3160332,
320.3163143,
320.316489,
320.3171301,
320.3184037,
,
323.1270384,0
325.8273495,1
329.6772928,
335.4555087,1
344.7589022,2
,
344.9270793,
355.4406135,1*
355.4406284,1*
355.4406294,1*
355.4415793,1*
,
355.4415942,1*
355.4540649,
356.2969069,0*
356.2978774,0*
356.3104232,
,
358.7261792,1*
358.7262,1*
358.7262015,1*
358.727163,1*
358.7271838,1*
,
358.7398804,0
359.9304497,
359.9314401,
359.944243,
361.364208,3
,
361.6802357,
363.4230761,2*
363.4231065,2*
363.4231087,2*
363.4240858,2*
,
363.4241162,2*
363.4371384,0
365.1981525,1*
365.1991721,1*
365.2123526,0
,
370.4995268,3*
370.499574,3*
370.4995773,3*
370.5005762,3*
370.5006234,3*
,
370.5141421,0
373.2863471,1*
373.2874124,1*
373.3011831,
381.9601969,10*
,
381.9602767,10*
381.9602822,10*
381.9613123,10*
381.961392,10*
381.9757304,1
,
383.3548698,0
383.810011,
386.7472336,3*
386.7483771,3*
386.7631589,1
,
387.1786391,1
387.8176842,
388.8604648,
388.8645585,500*
388.8648909,500*
,
392.6544371,1
393.5945208,0
396.4728814,20
397.2015439,
400.92565,1
,
402.3979778,1
402.6184361,50*
402.6185894,50*
402.6185998,50*
402.6196753,50*
,
402.6198287,50*
402.6356952,5
412.0810757,12*
412.0823739,12*
412.0991556,2
,
414.133214,
414.3759042,3
416.8971495,1
438.3278536,
438.7929124,10
,
443.7553408,3
447.1470365,200*
447.1474069,200*
447.147431,200*
447.148565,200*
,
447.1489354,200*
447.1683243,25
468.5376849,
468.5407225,
468.5524404,
,
468.5568006,
468.5703849,
468.570438,
468.575708,
