waveLength,energyDensity
,
23.43471606,0.000000011
23.43472798,0.000000011
23.73306641,0.000000011
23.73308753,0.000000011
24.30264445,0.000000012
,
24.3026877,0.000000012
25.63165628,0.000000013
25.6317703,0.000000013
30.37804098,0.000000018
30.37858151,0.000000018
,
102.5240826,0.000000006
102.5242919,0.000000005
102.5245746,0.000000021
102.5248026,0.000000021
102.5301636,0.000000005
,
102.5302396,0.000000005
102.5304488,0.000000004
108.4907471,0.000000009
108.491152,0.000000007
108.4912976,0.000000024
,
108.4917389,0.000000024
108.4974945,0.000000008
108.4976415,0.000000008
108.4980465,0.000000005
121.5088093,0.000000015
,
121.509499,0.00000003
121.5098013,0.000000007
121.51058,0.00000003
121.5170973,0.000000013
121.5174576,0.000000013
,
121.5184498,0.000000006
164.0332128,0.000000013
164.0344654,0.00000005
164.0374994,0.000000019
164.0391352,0.00000005
,
164.0474175,0.000000008
164.0489741,0.000000008
164.0532615,0.000000016
,
273.3184772,0.0000021
273.3195172,0.0000021
273.3199647,0.0000021
273.3211384,0.0000021
273.330886,0.0000021
,
273.3309064,0.0000021
273.3314226,0.0000021
273.3314467,0.0000021
273.3329344,0.0000021
273.3330439,0.0000021
,
273.3349388,0.0000021
273.335209,0.0000021
273.3357457,0.0000021
320.2946921,0.000002
320.2961177,0.000002
,
320.2982222,0.000002
320.2999646,0.000002
320.3111934,0.000002
320.3112204,0.000002
320.312467,0.000002
,
320.3125027,0.000002
320.3160332,0.000002
320.3163143,0.000002
320.316489,0.000002
320.3171301,0.000002
,
320.3184037,0.000002
468.5376849,0.0000024
468.5407225,0.0000023
468.5524404,0.0000023
468.5568006,0.0000023
,
468.5703849,0.0000023
468.570438,0.0000024
468.575708,0.0000023
468.5757974,0.0000024
468.5804092,0.0000023
,
468.583089,0.0000023
468.5884123,0.0000023
468.5905553,0.0000023
468.5917884,0.0000023
655.976872,0.000003
,
655.979395,0.000003
655.98544,0.000003
655.988733,0.000003
656.005227,0.000003
656.005274,0.000003
,
656.008318,0.000003
656.008387,0.000003
656.01416,0.000003
656.014176,0.000003
656.015707,0.000003
,
656.015732,0.000003
656.016955,0.000003
656.017657,0.000003
656.018478,0.000003
656.01882,0.000003
,
656.018823,0.000003
656.019412,0.000003
656.02096,0.000003
1 012.285344,0.000005
1 012.291327,0.000005
,
1 012.320605,0.000005
1 012.329752,0.000005
1 012.347485,0.000005
1 012.347587,0.000005
1 012.360206,0.000005
,
1 012.360395,0.000005
1 012.366065,0.000005
1 012.366098,0.000005
1 012.372433,0.000005
1 012.372502,0.000005
,
1 012.374730,0.000005
1 012.378573,0.000005
1 012.384942,0.000005
1 012.385223,0.000005
1 012.385242,0.000005
,
1 012.395661,0.000005
1 012.398636,0.000005
1 863.537402,0.000009
1 863.547779,0.000009
1 863.606550,0.000009
,
1 863.623138,0.000009
1 863.642333,0.00001
1 863.642506,0.000009
1 863.667279,0.00001
1 863.667625,0.000009
,
1 863.673126,0.000009
1 863.673181,0.00001
1 863.685616,0.00001
1 863.685740,0.00001
1 863.687267,0.000009
,
1 863.687293,0.000009
1 863.694764,0.000009
1 863.694829,0.000009
1 863.695265,0.000009
1 863.700289,0.000009
,
1 863.707319,0.00001
1 863.707324,0.000009
1 863.707786,0.000009
1 863.710688,0.00001
1 863.710737,0.00001
,
1 863.736783,0.000009
1 863.742648,0.00001
