waveLength,energyDensity
,
24.0859,
24.0925,
24.0925,
24.1037,
24.1037,
,
24.1037,
24.6265,
24.832,
25.6423,
25.6459,
,
25.6507,
26.1024,
26.2111,
26.3694,
26.3727,
,
26.3773,
26.3817,
26.3861,
26.3907,
26.4258,
,
26.4325,
26.4337,80bl
26.4346,
26.4472,
26.4481,110
,
26.6972,110
26.6987,150
26.7031,150
26.7052,
26.7124,
,
26.719,
27.1395,
27.1516,
27.1609,
27.5282,
,
27.5368,
27.5515,
27.7386,150
27.9788,
29.5621,80
,
29.5655,110
29.5716,120
29.5942,
30.3413,150
30.3461,150
,
30.3517,140
30.3622,160
30.3695,160
30.38,250
30.5596,200
,
30.5656,250
30.5702,190
30.5767,300
30.5836,190
30.5882,
,
32.0978,450
32.8448,300
,250
34.5312,300
34.9828,
,
34.9863,
34.9889,
34.9923,
34.9929,
34.9959,
,
34.9964,
35.5138,110
35.5302,
35.5337,90
35.5429,
,
35.5465,
35.5471,80
35.6561,
35.6624,
35.663,
,
35.6727,
35.6763,
35.6769,
35.9017,200
35.9225,190
,
35.9386,150
36.4734,
36.4771,
36.4828,
36.4865,
,
36.4871,
36.4929,
36.4935,
36.6191,
36.6343,
,
36.6602,
37.3803,210
37.4004,200
37.4073,300
37.4162,190
,
37.4328,200
37.4432,210
37.9508,
37.958,
37.9581,
,
37.9621,
37.9622,
37.9639,
38.7397,
38.7477,
,
38.7478,
38.7496,
38.7641,
38.7642,
39.5557,450
,
39.7114,
39.7225,
39.7227,
39.7301,
39.7302,
,
39.7321,
40.4268,
40.4688,
43.4267,
43.432,
,
43.4329,
43.4648,
43.4657,
43.4846,
43.498,300
,
44.6047,
47.5146,
47.5401,
47.5838,
48.096,
,
48.0962,
48.1363,
48.1365,
48.1392,
48.1597,
,
49.1576,
49.1707,
49.1971,
50.7388,800
50.768,900
,
50.8178,1000
52.5794,1000
53.4929,
53.5481,
55.427,
,
55.4357,
55.4372,
55.4759,
55.4773,
55.5026,
,
56.5565,
57.406,
57.4153,
57.4786,
57.488,
,
57.4895,
57.5331,
57.5347,
59.7814,700
59.959,1000
,
60.9705,110
61.0039,160
61.0057,
61.0745,200
61.085,100
,
61.0868,
63.2665,
63.2668,
63.3188,
63.3191,
,
63.3238,
63.352,
64.4423,
64.4426,
64.4475,
,
64.9764,
65.8579,
65.9536,
65.9539,
66.0129,
,
66.0133,
66.0184,
70.2337,800
70.2838,800
70.2896,900*
,
70.29,900*
70.385,1000*
70.3854,1000*
70.5766,
70.6233,
,
70.6237,
70.6295,
70.732,
70.7324,
71.9069,
,
73.8652,
75.276,
75.9111,
78.8515,
78.8953,
,
78.9229,
78.9252,
79.0115,
79.0556,
79.0855,
,
80.8291,
81.8944,
81.8949,
82.431,
82.431,
,
82.5238,
82.5238,
82.5238,
82.6741,
82.6741,
,
83.2929,600
83.3715,
83.3749,780
83.5059,
83.5092,600
,
83.5289,800
84.4495,
85.9159,
86.9943,
87.0564,
,
87.0564,
87.1555,
87.1555,
87.1555,
89.8957,
,
90.2255,
92.8309,
92.8763,
92.8908,
93.0086,
,
93.0211,
93.1995,
96.754,
96.767,
96.8765,
,
96.9372,
96.9468,
96.9535,
97.0485,
97.1326,
,
97.1888,
97.2911,
98.2094,
99.2408,
99.2666,
,
99.2917,
99.3096,
99.3638,
99.4148,
99.4255,
,
99.4265,
99.523,
99.6811,
100.2155,
100.2204,
,
100.2487,
100.7762,
100.7875,
100.8105,
100.8383,
,
100.8966,
101.0491,
101.1588,
101.6849,
101.8261,
,
101.9874,
102.0549,
102.078,
102.1295,
103.1372,
,
103.1493,
103.3123,
103.3489,
103.3693,
103.3815,
,
103.4704,
104.032,
105.0358,
105.6433,
105.6514,
,
105.6569,
105.8674,
105.8868,
105.9005,
105.9781,
,
105.9929,
106.0759,
107.9384,
108.8168,
108.9717,
,
109.0657,
109.1633,
109.2672,
109.3192,
109.8473,
,
110.0064,
110.1177,
110.2705,
110.3823,
110.4976,
,
111.4443,
113.8535,
114.9584,
114.9634,
115.0884,
,
115.0906,
115.3022,
115.3215,
115.3775,
116.0155,
,
117.0596,
117.15,
117.1593,
117.2468,
117.3374,
,
117.4623,
117.5503,
117.9553,
118.0039,
118.0792,
,
118.0993,
118.1748,
118.277,
118.315,
118.4174,
,
118.5961,
119.6753,
119.7239,
119.7331,
119.9289,
,
119.9915,
120.2236,
