Wavelength,energyDensity
1.46343,
1.46344,
1.48205,
1.48207,
1.5176,
,
1.51765,
1.60055,
1.60067,
1.78052,
1.8627,
,
1.86377,
1.87307,
1.89671,
1.89725,
2.1602,
,
2.18044,
2.1807,
2.21012,
6.40005,
6.40026,
,
6.40035,
6.40058,
6.40613,
6.40621,
6.40642,
,
6.77219,
6.77253,
6.77261,
6.77297,
6.77894,
,
6.77909,
6.77951,
7.58403,
7.58445,
7.58505,
,
7.58553,
7.59232,
7.59268,
7.59371,
7.88619,
,
7.88656,
7.88656,
7.88998,
7.88998,
7.88998,
,
8.14697,
8.14737,
8.14737,
8.15102,
8.15102,
,
8.15102,
8.15947,
8.44253,
8.60748,
8.60778,
,
8.60793,
8.61037,
8.61186,
8.612,
8.62017,
,
8.93632,
9.61224,
9.61243,
9.6128,
9.61289,
,
9.61751,
9.61788,
9.61797,
9.70196,
9.70252,
,
9.7077,
10.0237,
10.0254,
10.23476,
10.23552,
,
10.23919,
10.24019,
10.24897,
10.25052,
10.25497,
,
10.3206,
10.326,
10.3263,
10.4612,
10.4669,
,
10.467,
10.4803,
10.4862,
10.6731,
10.6789,
,
10.6792,
10.702,
10.7081,
11.0157,
11.022,
,
11.0222,
11.0656,
11.0721,
11.4358,
11.5821,
,
11.583,
11.6161,
11.635,
11.6421,
11.6422,
,
11.7328,
11.7401,
11.8,
11.9102,
12.2087,
,
12.2088,
12.2108,
12.2133,
12.2133,
12.2154,
,
12.4616,80
12.6069,
12.6087,
12.609,
12.6135,
,
12.6136,
12.6139,
12.8177,
12.8232,
12.8252,
,
12.8255,
12.8302,
12.8303,
12.8305,
12.8411,
,
12.8411,
12.8421,
12.85,
12.8502,
12.8512,
,
12.8685,
12.8817,
12.9785,
12.9871,
12.9875,
,
13.1737,
13.176,
13.176,
13.1813,
13.1813,
,
13.1813,
13.2219,
13.2312,
13.2767,
13.2777,
,
13.2791,
13.2797,
13.2821,
13.2845,
13.2845,
,
13.2874,
13.2875,
13.331,
13.3335,
13.3389,
,
13.352,
13.352,
13.3525,
13.3549,
13.3575,
,
13.3604,
13.5175,
13.5523,110
13.582,
13.751,
,
13.8025,
13.8051,
13.8051,
13.8109,80*
13.811,80*
,
13.811,80*
13.9029,110
14.0031,
14.0058,
14.0118,
,
14.2122,
14.4809,
14.4809,
14.4837,
14.4842,
,
14.4865,
14.4898,
14.6351,
14.7263,
14.9038,
,
14.9076,
15.0089,
15.0125,
15.1447,80
15.1477,110*
,
15.1478,110*
15.1547,150*
15.1548,150*
15.1549,150*
15.3952,
,
15.6119,
15.6152,
15.6227,
15.8792,
15.8818,
,
15.8831,
15.8858,
15.8899,
15.8926,
15.9327,
,
15.9343,
15.9367,
15.938,
15.9411,
15.9435,
,
16.0062,
16.0131,
16.2492,
16.4177,
16.4574,80
,
16.4589,
16.4626,
16.4657,110*
16.4657,110*
16.4709,80
,
16.4986,
16.6113,
16.615,
16.6235,80
16.7988,150*
,
16.7991,150*
16.8008,
16.8047,
16.8078,
16.8134,
,
16.8759,
16.9472,
16.9583,
17.0219,110
17.06862,
,
17.06926,
17.07016,
17.07088,
17.08104,
17.08106,
,
17.08158,
17.0816,
17.08314,
17.0832,
17.08509,
,
17.08537,
17.0859,
17.1074,
17.1123,
17.1187,
,
17.2169,450
17.2935,
17.3079,
17.3095,
17.3252,
,
17.38,
