Wavelength,energyDensity
,
,70
69.7528,
69.7528,
69.7528,
69.8299,
,
69.8299,
69.8634,
72.4835,
72.4835,
72.4835,
,
72.5667,
72.5667,
72.6029,
,70
76.9353,
,
76.9408,
77.026,
77.0291,
77.0346,
77.0699,
,
77.0793,70
77.0992,
77.1025,
77.1056,90
77.1734,
,
77.1934,
77.1967,
77.2143,
77.2344,
,70
,
79.1514,
79.1973,70
79.2233,
79.2506,
79.2938,
,
79.2967,
80.427,90
80.4738,
80.4779,
80.4848,70
,
80.5295,70
80.5741,
80.5765,
80.5805,80
80.6211,
,
81.0665,
81.1051,
81.1497,
81.1706,
81.2094,
,
81.2159,
81.672,
81.6772,
81.6862,
81.7777,
,
81.7829,
81.8237,
83.9827,
83.9827,
84.3589,
,
84.3589,
84.433,
84.9451,
84.948,
85.0679,
,
85.9312,
85.9349,
85.9586,
86.1563,
87.7798,
,
87.7879,40
87.8201,
87.8247,
87.8618,
87.8972,
,
87.9019,
87.91,
87.9551,
88.2889,
92.2008,80
,
92.2073,
92.2457,
92.495,
92.495,
92.495,
,
92.6306,
92.6306,
92.6896,
92.9517,
92.9517,
,
92.9517,
93.0257,
93.0886,
93.0886,
93.1482,
,
93.1628,
93.2225,
93.5193,90
93.6629,
93.6629,
,
93.6629,
93.7841,
93.802,
93.802,
93.8625,
,
93.9235,
93.9841,
94.8686,40*
94.8686,40*
94.8686,40*
,
95.0112,
95.0112,
95.0733,
95.0885,
95.2318,
,
95.2941,
97.1737,90*
97.1738,90*
97.1738,90*
97.3234,
,
97.3234,
97.3885,
97.407,
97.5574,
97.6448,40
,
97.7959,
97.8617,
98.8578,
98.8655,
98.8773,160
,
99.0127,
99.0204,40
99.0801,
99.9497,
102.5762,250*
,
102.5763,250*
102.5763,250*
102.7431,90*
102.7431,90*
102.8157,
,
103.923,160
104.0943,60
104.1688,
115.2151,40
117.2504,
,
117.2612,
117.2779,
121.7648,
130.2168,900
130.4858,600
,
130.6029,300
135.5598,
135.8512,
148.4498,
164.1305,
,
172.7106,
182.706,
182.706,
182.708,
182.708,
,
182.708,
,
202.643,
202.643,
202.646,
202.646,
202.646,
,
228.854,
228.854,
228.855,
228.856,
232.4738,
,
241.7413,
241.7715,
241.7748,
241.7757,
241.8264,
,
241.8297,
243.2,
243.203,
243.204,
243.399,
,
243.403,
243.431,
243.435,
243.465,
261.145,
,
261.145,
261.145,
261.145,
261.147,
279.985,
,
279.989,
279.99,
280.553,
280.557,
280.558,
,
280.602,
280.607,
280.69,
287.6295,
287.8931,
,
287.8978,
287.8991,
288.3809,
288.3856,
295.8365,
,
297.2286,265
329.899,
329.9552,
329.9561,
329.959,
,
330.0575,
330.0584,
332.621,
332.622,
332.624,
,
332.993,
332.997,
333.054,
333.055,
333.113,
,
369.2356,
369.2386,
369.2395,
382.2577,
382.3414,120
,
382.3868,
382.4349,
382.5023,
382.5187,
382.5505,
,
385.5014,
394.7295,185
394.7481,160
394.7586,140
395.1928,
,
395.2888,
395.2975,
395.3,
395.4519,
395.4607,100
,
399.7953,
405.477,
405.479,
405.483,
406.67,
,
406.671,
406.675,
406.774,
406.775,
406.951,
,
421.7088,
422.2757,
422.2771,
422.2818,
423.326,
,
423.3274,80
436.8193,
436.8242,
436.8258,100
465.4117,
,
465.4118,
465.4119,
465.4556,
465.4557,
465.4559,
,
465.5354,
465.5356,
465.5357,
477.2448,
477.2449,
,
477.2451,
477.2909,
477.2911,
477.2914,
477.3749,
,
477.3752,
477.3753,
480.1667,
480.2134,
480.2982,
,
496.7376,
496.7378,
496.7381,
496.7877,
496.788,
,
496.7884,
496.8788,
496.8791,
496.8794,
501.8782,
,
501.9291,
502.0218,
513.114,
513.114,
513.129,
,
513.129,
513.129,
513.133,
527.4967,
527.4967,
,
527.5123,
527.5123,
527.5123,
527.5166,
529.8887,
,
529.9044,
529.9088,
532.9096,135*
532.9099,135*
532.9107,
,
532.9673,
532.9681,160
532.969,
533.0726,
533.0735,
,
533.0741,190
543.5178,90
543.5775,110
543.6862,135
551.2602,
,
551.2602,
551.2772,
551.2772,
551.2772,
551.282,
,
555.4832,
555.5004,
555.5053,
557.7339,120
595.8386,160*
,
595.8386,160*
595.8584,190*
595.8584,190*
595.8584,190*
595.864,
,
,80
604.6233,160
604.6438,190
604.6495,110
,100
,
614.0582,
615.5961,
615.5971,400
615.5989,
615.6737,
,
615.6755,
615.6778,450
615.8149,
615.8172,
615.8187,490
,
,80
,100
630.0304,
630.0304,
632.3385,
,
632.3413,
632.4772,
632.48,
632.4815,
632.4836,
,
632.4851,
636.3776,
636.3776,
,100
,100
,
639.1733,
645.3602,320
645.4444,360
645.5977,400
,80
,
,100
672.6284,
672.6537,
700.1899,
700.1922,360
,
700.2173,
700.2196,
700.223,450
700.225,
701.73,
,
702.0327,
702.0367,
702.0495,
702.5475,
702.5515,
,
715.6701,210
725.4154,400
725.4448,450
725.4531,320
,210
,
,100
,120
,120
,100
777.1944,870
,
777.4166,810
777.5388,750
,80
,100
,100
,
,235
,210
,185
798.1942,110
798.2298,
,
798.2398,135
798.6977,190
798.7334,135
799.5075,250
822.1798,
,
822.1824,400
822.7653,265
823.0001,
823.0026,265
823.3003,325
,
823.5354,120
,120
844.6247,810
844.6359,1000
844.6758,935
,
882.0423,325
,160bl
,120
,80
,80
,
,80
,235
920.4933,
926.0806,450
926.0848,490
,
926.0936,450
926.2582,400
926.267,540
926.2776,590
926.5826,
,
926.5932,490
926.6006,640
,185
,120
948.2888,120bl
,
,235
,140
,265
,160
,235
,
,210
,120
,120
,100
962.2114,100
,
962.2156,
962.5261,
962.5296,120
962.5325,
962.536,
,
962.5367,
,160
969.4661,80
969.4906,65
969.506,
,
,235
,235
982.5789,
982.5789,
