Wavelength,energyDensity
,
37.45722,
37.48098,
37.49559,
37.6693,1
37.6745,1
,
37.7045,1*
37.7045,1*
38.42658,
38.4268,
38.42953,
,
38.42976,
38.7649,
38.7898,
38.8055,
39.19062,5
,
39.1938,10
39.19954,15
39.23162,15*
39.23394,15*
39.78768,
,
39.78773,
39.79085,
39.7909,
40.11798,*
40.12121,*
,
40.13269,*
40.13592,*
40.1928,
40.1961,
40.3035,1
,
40.3054,
40.3067,
40.3087,1
40.3273,1
40.3339,
,
40.3372,1
40.55494,
40.55519,
40.55551,
41.36472,
,
41.36506,
41.58217,
41.58563,
41.61975,
41.8332,
,
41.8367,
41.85958,5
41.8812,1
41.88786,
41.90633,
,
42.07398,*
42.07403,*
42.07438,*
42.4435,
42.4577,1*
,
42.4581,1*
42.45997,
42.46033,
42.5273,1*
42.5277,1*
,
42.6522,
42.6512,5w*
42.6534,5w*
42.6537,5w*
42.8393,
,
42.95601,10
42.965,30*
42.9653,30*
42.97164,20
42.9918,30
,
43.0041,40
43.01491,
43.015,
43.01765,50
43.01862,
,
43.0187,
43.14142,
43.14515,
43.18149,
43.65153,5
,
43.65535,
43.66195,
43.66577,1
43.7339,20
43.76529,
,
43.76913,15
43.77299,
43.78993,
43.79376,
44.05639,15
,
44.06027,10*
44.06074,10*
44.08584,
44.08622,
44.12418,
,
44.12457,
44.20119,25*
44.20159,25*
44.2051,20*
44.2055,20*
,
44.3681,1
44.56045,25*
44.56097,25*
44.56443,20
45.69965,5*
,
45.69975,5*
45.70006,5*
45.84247,1*
45.84289,1*
45.8835,
,
45.88392,
46.41888,10
46.43067,5*
46.43109,5*
46.47817,15*
,
46.4786,15*
46.55192,5*
46.55235,5*
46.57541,10*
46.57584,10*
,
46.79308,1
46.79747,
46.83853,
46.87697,10*
46.8774,10*
,
46.87749,10*
46.87793,10*
47.04093,20*
47.04139,20*
47.04184,20*
,
48.15933,20
48.16397,1
48.17136,5
48.176,15
48.37601,20
,
48.39803,25
48.40272,10
48.50868,30
48.54705,1
48.55177,25
,
48.55706,5*
48.55854,5*
48.55891,5*
48.56326,20*
48.56363,20*
,
48.5717,
48.5975,
48.6085,
48.6305,
48.8717,
,
48.8951,
49.98767,10*
49.98817,10*
50.03452,5*
50.03502,5*
,
51.54995,25
51.56372,20*
51.56425,20*
51.79292,20*
51.79345,20*
,
51.82354,25*
51.82407,25*
51.9944,
52.008,
52.0086,
,
52.0173,
52.0179,
52.0474,
52.0649,
52.0848,
,
52.59243,15*
52.59298,15*
53.7832,45
53.82616,50
53.83196,35bl
,
53.90861,60
53.95473,50
53.9854,45
55.50555,25*
55.50587,25*
,
55.51172,20*
55.51204,20*
58.04025,20*
58.04092,20*
58.09704,25*
,
58.09771,25*
60.05836,25*
60.05874,25*
60.05908,25*
61.63026,35
,
61.63786,20
61.70631,30
64.41537,60*
64.41619,60*
67.29452,40*
,
67.29542,40*
67.37612,35*
67.37703,35*
71.84633,
71.85048,85
,
71.85667,80
71.86082,
73.99496,15
74.08443,4
74.1297,1
,
79.66319,
79.66445,40
79.66829,50bl
83.27583,100
83.33303,150
,
83.44654,200
90.9974,*
90.9974,*
91.0041,*
107.4961,8
,
108.3134,25
108.5052,20
108.6024,18
112.807,50
112.9241,40
,
113.0151,40
113.1326,20
113.1917,35
113.2382,35
113.2974,18
,
114.2602,8
114.2947,7
114.3259,10
114.3548,9
114.7246,10
,
114.8888,10
114.936,
114.9466,
114.9548,
115.0098,
,
115.1047,
115.2261,
115.2999,
115.3357,15
115.4096,15
,
120.072,12
120.1485,8
120.1823,12
120.2025,12
120.3007,4bl?
,
120.4117,
120.5306,
125.6047,
125.6078,6
125.7349,10
,
125.738,
125.8158,6
125.9935,10
126.1014,10
127.22283,
,
127.27223,
127.51479,10
127.56442,
128.6409,10
128.91238,12
,
128.93941,6
131.53393,8
131.5522,8
131.61499,5bl
131.71636,10
,
131.79764,
131.8272,12
131.992,10
132.05968,10
132.09437,12
,
132.13275,15
132.14111,
132.24357,9
132.32522,
132.3716,8
,
132.52143,
137.34338,7
137.35995,8
137.68371,4
139.28018,4
,
139.63018,8
143.37685,6
143.59363,8
143.92128,8
150.2886,15
,
150.3068,10
150.4123,12
155.99444,6
156.00944,8
156.2989,
,
156.3185,3
156.3511,3
156.3708,
156.43362,10
156.4487,5
,
157.7141,
157.7439,
157.8384,5
158.1813,
158.1896,
,
158.2197,
158.331,
158.5571,
158.6597,
159.3397,20
,
159.3997,10
159.4201,18
161.6929,8
161.7756,
161.9321,
,
163.27054,5
163.55172,
163.62581,8
163.70683,
163.78262,8
,
163.97692,10
163.98951,10
164.0514,12
164.06556,
164.49344,6
,
164.6197,
164.7492,
164.7818,
165.06711,10
165.11828,12
,
165.1989,
165.20687,15
165.35452,10
165.48677,
165.55168,10
,
165.78916,
166.1545,
166.4077,6
166.469,
166.623,
,
166.7535,10*
166.7577,10*
166.8777,8
166.9123,6
167.5915,9
,
167.5944,
167.6372,
167.6401,8
167.7384,10
167.7626,
,
167.7655,10
168.3761,7
168.4033,8
169.14267,8*
169.15286,8*
,
169.65913,4
170.7097,8*
170.9781,9
171.0691,6
171.2043,6
,
171.374,5
171.4582,
171.4626,8
171.4742,8
171.5097,8
,
171.5276,8
174.5721,15
174.5909,12
175.1313,7
175.1359,
,
175.1968,
175.2014,7
178.09836,10bl
178.67105,14
179.2882,
,
179.903,10
179.9241,10
180.5172,8
180.5206,
180.7857,6
,
182.1551,10
182.1586,
182.4506,8
182.7249,8*
182.7284,8*
,
182.93555,12
183.0157,5bl
183.3647,6
183.59076,9
188.2147,8
,
188.2236,
188.2365,9
188.4355,9
188.5253,8
188.6649,6
,
188.9246,5
189.1381,
189.3766,8
189.6959,
194.7813,
,
195.1932,
